"filename", "language", "JSON with Comments", "XML", "Batch", "ActionScript", "PowerShell", "comment", "blank", "total"
"e:\fofopaint-source\0.login_github_cli.bat", "Batch", 0, 0, 1, 0, 0, 0, 0, 1
"e:\fofopaint-source\1.makeReleaseFile.bat", "Batch", 0, 0, 3, 0, 0, 0, 0, 3
"e:\fofopaint-source\2.release.bat", "Batch", 0, 0, 10, 0, 0, 0, 2, 12
"e:\fofopaint-source\_make_air_file.ps1", "PowerShell", 0, 0, 0, 0, 1, 0, 0, 1
"e:\fofopaint-source\asconfig.json", "JSON with Comments", 13, 0, 0, 0, 0, 0, 1, 14
"e:\fofopaint-source\fofoPaint-app.xml", "XML", 0, 36, 0, 0, 0, 17, 2, 55
"e:\fofopaint-source\fofopaint-source.code-workspace", "JSON with Comments", 11, 0, 0, 0, 0, 0, 0, 11
"e:\fofopaint-source\resource\toolsvgs\Clipboard-01.svg", "XML", 0, 15, 0, 0, 0, 1, 1, 17
"e:\fofopaint-source\resource\toolsvgs\Folder-01.svg", "XML", 0, 11, 0, 0, 0, 1, 1, 13
"e:\fofopaint-source\resource\toolsvgs\arrow.svg", "XML", 0, 42, 0, 0, 0, 1, 1, 44
"e:\fofopaint-source\resource\toolsvgs\arrow3.svg", "XML", 0, 6, 0, 0, 0, 1, 0, 7
"e:\fofopaint-source\resource\toolsvgs\bgicon.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"e:\fofopaint-source\resource\toolsvgs\canvasicon.svg", "XML", 0, 46, 0, 0, 0, 1, 1, 48
"e:\fofopaint-source\resource\toolsvgs\caprotate.svg", "XML", 0, 6, 0, 0, 0, 1, 0, 7
"e:\fofopaint-source\resource\toolsvgs\clear.svg", "XML", 0, 6, 0, 0, 0, 1, 0, 7
"e:\fofopaint-source\resource\toolsvgs\clipbaord.svg", "XML", 0, 6, 0, 0, 0, 1, 0, 7
"e:\fofopaint-source\resource\toolsvgs\clock.svg", "XML", 0, 5, 0, 0, 0, 0, 2, 7
"e:\fofopaint-source\resource\toolsvgs\colorbox.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"e:\fofopaint-source\resource\toolsvgs\diagonal-resize.svg", "XML", 0, 38, 0, 0, 0, 1, 1, 40
"e:\fofopaint-source\resource\toolsvgs\download.svg", "XML", 0, 72, 0, 0, 0, 1, 1, 74
"e:\fofopaint-source\resource\toolsvgs\edit.svg", "XML", 0, 56, 0, 0, 0, 1, 1, 58
"e:\fofopaint-source\resource\toolsvgs\eye.svg", "XML", 0, 8, 0, 0, 0, 0, 0, 8
"e:\fofopaint-source\resource\toolsvgs\fill-2.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 4
"e:\fofopaint-source\resource\toolsvgs\hand.svg", "XML", 0, 6, 0, 0, 0, 0, 1, 7
"e:\fofopaint-source\resource\toolsvgs\hand2.svg", "XML", 0, 4, 0, 0, 0, 0, 1, 5
"e:\fofopaint-source\resource\toolsvgs\handarrow.svg", "XML", 0, 6, 0, 0, 0, 0, 1, 7
"e:\fofopaint-source\resource\toolsvgs\help.svg", "XML", 0, 6, 0, 0, 0, 0, 2, 8
"e:\fofopaint-source\resource\toolsvgs\info2.svg", "XML", 0, 47, 0, 0, 0, 1, 1, 49
"e:\fofopaint-source\resource\toolsvgs\info3.svg", "XML", 0, 48, 0, 0, 0, 1, 1, 50
"e:\fofopaint-source\resource\toolsvgs\lassomenu.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"e:\fofopaint-source\resource\toolsvgs\minus-symbol.svg", "XML", 0, 41, 0, 0, 0, 1, 1, 43
"e:\fofopaint-source\resource\toolsvgs\mousecursor.svg", "XML", 0, 53, 0, 0, 0, 1, 1, 55
"e:\fofopaint-source\resource\toolsvgs\open-folder-outline.svg", "XML", 0, 51, 0, 0, 0, 1, 1, 53
"e:\fofopaint-source\resource\toolsvgs\openfile.svg", "XML", 0, 6, 0, 0, 0, 0, 1, 7
"e:\fofopaint-source\resource\toolsvgs\pause.svg", "XML", 0, 5, 0, 0, 0, 0, 2, 7
"e:\fofopaint-source\resource\toolsvgs\pen.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"e:\fofopaint-source\resource\toolsvgs\penbox.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"e:\fofopaint-source\resource\toolsvgs\photo-camera.svg", "XML", 0, 41, 0, 0, 0, 1, 1, 43
"e:\fofopaint-source\resource\toolsvgs\pi.svg", "XML", 0, 44, 0, 0, 0, 1, 1, 46
"e:\fofopaint-source\resource\toolsvgs\pin.svg", "XML", 0, 5, 0, 0, 0, 0, 2, 7
"e:\fofopaint-source\resource\toolsvgs\play.svg", "XML", 0, 6, 0, 0, 0, 0, 2, 8
"e:\fofopaint-source\resource\toolsvgs\playicon2.svg", "XML", 0, 6, 0, 0, 0, 1, 0, 7
"e:\fofopaint-source\resource\toolsvgs\plus-cymbol.svg", "XML", 0, 45, 0, 0, 0, 1, 1, 47
"e:\fofopaint-source\resource\toolsvgs\replay_mousecursor.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"e:\fofopaint-source\resource\toolsvgs\resizeArrow.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"e:\fofopaint-source\resource\toolsvgs\return.svg", "XML", 0, 6, 0, 0, 0, 0, 3, 9
"e:\fofopaint-source\resource\toolsvgs\rotateIcon.svg", "XML", 0, 43, 0, 0, 0, 1, 1, 45
"e:\fofopaint-source\resource\toolsvgs\savefile.svg", "XML", 0, 42, 0, 0, 0, 1, 1, 44
"e:\fofopaint-source\resource\toolsvgs\speed.svg", "XML", 0, 6, 0, 0, 0, 0, 3, 9
"e:\fofopaint-source\resource\toolsvgs\superUndo.svg", "XML", 0, 4, 0, 0, 0, 0, 1, 5
"e:\fofopaint-source\resource\toolsvgs\swap.svg", "XML", 0, 65, 0, 0, 0, 1, 1, 67
"e:\fofopaint-source\resource\toolsvgs\timer.svg", "XML", 0, 46, 0, 0, 0, 1, 1, 48
"e:\fofopaint-source\resource\toolsvgs\toolmenu.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"e:\fofopaint-source\resource\toolsvgs\trash (2).svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"e:\fofopaint-source\resource\toolsvgs\trash.svg", "XML", 0, 62, 0, 0, 0, 1, 1, 64
"e:\fofopaint-source\resource\toolsvgs\video-camera.svg", "XML", 0, 51, 0, 0, 0, 1, 1, 53
"e:\fofopaint-source\resource\toolsvgs\video-player-outline.svg", "XML", 0, 46, 0, 0, 0, 1, 1, 48
"e:\fofopaint-source\resource\uiicon\dropper.svg", "XML", 0, 57, 0, 0, 0, 1, 1, 59
"e:\fofopaint-source\resource\uiicon\eraser.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"e:\fofopaint-source\resource\uiicon\lasso.svg", "XML", 0, 50, 0, 0, 0, 1, 1, 52
"e:\fofopaint-source\resource\uiicon\mirror.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"e:\fofopaint-source\resource\uiicon\move_arrow.svg", "XML", 0, 40, 0, 0, 0, 1, 1, 42
"e:\fofopaint-source\resource\uiicon\pencil.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"e:\fofopaint-source\resource\uiicon\playbutton.svg", "XML", 0, 39, 0, 0, 0, 1, 1, 41
"e:\fofopaint-source\resource\uiicon\playbutton2.svg", "XML", 0, 37, 0, 0, 0, 1, 1, 39
"e:\fofopaint-source\resource\uiicon\resize.svg", "XML", 0, 54, 0, 0, 0, 1, 1, 56
"e:\fofopaint-source\resource\uiicon\rotateicon.svg", "XML", 0, 154, 0, 0, 0, 1, 1, 156
"e:\fofopaint-source\resource\uiicon\stopButton.svg", "XML", 0, 46, 0, 0, 0, 1, 1, 48
"e:\fofopaint-source\resource\uiicon\undo.svg", "XML", 0, 41, 0, 0, 0, 1, 1, 43
"e:\fofopaint-source\resource\uiicon\zoom.svg", "XML", 0, 43, 0, 0, 0, 1, 1, 45
"e:\fofopaint-source\src\aboutBox.as", "ActionScript", 0, 0, 0, 44, 0, 1, 10, 55
"e:\fofopaint-source\src\appInfoBar.as", "ActionScript", 0, 0, 0, 57, 0, 0, 10, 67
"e:\fofopaint-source\src\appTimer.as", "ActionScript", 0, 0, 0, 10, 0, 1, 6, 17
"e:\fofopaint-source\src\canvasResizeButton.as", "ActionScript", 0, 0, 0, 16, 0, 1, 6, 23
"e:\fofopaint-source\src\colorPickerBox.as", "ActionScript", 0, 0, 0, 322, 0, 8, 52, 382
"e:\fofopaint-source\src\controlMenu.as", "ActionScript", 0, 0, 0, 241, 0, 55, 59, 355
"e:\fofopaint-source\src\fillPenButtons.as", "ActionScript", 0, 0, 0, 59, 0, 1, 15, 75
