"parent","child","instanceName","symbolType"
"aboutBox","AboutBoxChild/aboutBG","","graphic"
"aboutBox","AboutBoxChild/logo1","logo1","button"
"aboutBox","AboutBoxChild/logo2","logo2","button"
"aboutBox","AboutBoxChild/logo3","logo3","button"
"aboutBox","AboutBoxChild/logo4","logo4","button"
"aboutBox","AboutBoxChild/logo5","logo5","button"
"aboutBox","AboutBoxChild/aboutTextSet","",""
"aboutBox","AboutBoxChild/aboutTwitterButton","aboutMeLink","button"
"aboutBox","AboutBoxChild/aboutHomePageButton","aboutHomePageLink","button"
"aboutBox","AboutBoxChild/releaseNoteButton","releaseNoteButton","button"
"aboutBox","AboutBoxChild/resetappButton","resetAppButton","button"
"aboutBoxSet","AboutBoxChild/aboutBG","","graphic"
"aboutBoxSet","AboutBoxChild/logo1","logo1","button"
"aboutBoxSet","AboutBoxChild/logo2","logo2","button"
"aboutBoxSet","AboutBoxChild/logo3","logo3","button"
"aboutBoxSet","AboutBoxChild/logo4","logo4","button"
"aboutBoxSet","AboutBoxChild/logo5","logo5","button"
"aboutBoxSet","AboutBoxChild/aboutTextSet","",""
"aboutBoxSet","AboutBoxChild/aboutTwitterButton","aboutMeLink","button"
"aboutBoxSet","AboutBoxChild/aboutHomePageButton","aboutHomePageLink","button"
"aboutBoxSet","AboutBoxChild/releaseNoteButton","releaseNoteButton","button"
"aboutBoxSet","AboutBoxChild/resetappButton","resetAppButton","button"
"aboutTextSet","aboutChild/jpMaualButton","jp","button"
"aboutTextSet","aboutChild/korManualButton","kor","button"
"aboutTextSet","aboutChild/engManualButton","eng","button"
"AboutWindowSet","AboutWindowChild/aboutBG","","graphic"
"AboutWindowSet","AboutWindowChild/logo1","logo1","button"
"AboutWindowSet","AboutWindowChild/logo2","logo2","button"
"AboutWindowSet","AboutWindowChild/logo3","logo3","button"
"AboutWindowSet","AboutWindowChild/logo4","logo4","button"
"AboutWindowSet","AboutWindowChild/logo5","logo5","button"
"AboutWindowSet","AboutWindowChild/aboutTextSet","",""
"AboutWindowSet","AboutWindowChild/aboutTwitterButton","aboutMeLink","button"
"AboutWindowSet","AboutWindowChild/aboutHomePageButton","aboutHomePageLink","button"
"AboutWindowSet","AboutWindowChild/releaseNoteButton","releaseNoteButton","button"
"AboutWindowSet","AboutWindowChild/resetappButton","resetAppButton","button"
"AboutWindowSet","AboutWindowChild/aboutManualFolder","aboutManualFolder","button"
"appInfoBar","appInfoBorder","appInfoBorder","button"
"canvasInfoBar2","canvasInfoBorder","appInfoBorder","button"
"CanvasInfoSet","canvasInfoBorder","appInfoBorder","button"
"capLayer1VisibleButton","topMenuChild/topMenuButton","","button"
"capLayer1VisibleButton","capLayer1VisibleIcon","","graphic"
"capLayer2visibleButton","topMenuChild/topMenuButton","","button"
"capLayer2visibleButton","capLayer2VisibleIcon","","graphic"
"capStampFont","topMenuChild/topMenuButton","","button"
"capStampFont","capStampFontIcon","","graphic"
